company_name,net_profit
"Reliance Industries Ltd
",79941
State Bank of India,74461
HDFC Bank Ltd,72168
Oil & Natural Gas Corpn Ltd,57101
ICICI Bank Ltd,52416
Tata Consultancy Services Ltd,49006
"Indian Oil Corporation
",43161
"Tata Steel Ltd
",41749
Life Insurance Corporation of India,41468
Coal India Ltd,37369
Tata Motors Ltd,33816
Power Finance Corporation Ltd,28248
Infosys Ltd,27687
Bharat Petroleum Corporation Ltd,26859
Axis Bank Ltd,26386
NTPC Ltd,22546
"Kotak Mahindra Bank Ltd
",22530
JSW Steel Ltd,20938
"ITC Ltd
",20829
Adani Power Ltd,20829
