company_name,sales
"Reliance Industries Ltd
",939838
Life Insurance Corporation of India,896106
"Indian Oil Corporation
",841756
Oil & Natural Gas Corpn Ltd,658694
Bharat Petroleum Corporation Ltd,473187
State Bank of India,469625
Tata Motors Ltd,440061
HDFC Bank Ltd,329022
Tata Consultancy Services Ltd,252082
"Tata Steel Ltd
",243959
Larsen & Toubro Ltd,238881
Hindalco Industries Ltd,224018
NTPC Ltd,185892
ICICI Bank Ltd,180551
JSW Steel Ltd,175006
Infosys Ltd,159988
Bharti Airtel Ltd,155478
"Mahindra & Mahindra Ltd
",145893
GAIL (India) Ltd,145668
Maruti Suzuki India Ltd,145213
